,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 20.46%
Acc: 92.26%
Miss: 0.01%","Cov: 27.13%
Acc: 87.69%
Miss: 0.12%","Cov: 39.00%
Acc: 78.97%
Miss: 0.52%","Cov: 52.47%
Acc: 70.17%
Miss: 0.89%","Cov: 65.07%
Acc: 65.12%
Miss: 1.30%","Cov: 76.11%
Acc: 62.07%
Miss: 1.03%","Cov: 85.88%
Acc: 59.74%
Miss: 0.41%","Cov: 92.88%
Acc: 58.64%
Miss: 0.21%","Cov: 97.67%
Acc: 57.57%
Miss: 0.08%","Cov: 99.15%
Acc: 57.19%
Miss: 0.02%","Cov: 99.86%
Acc: 56.99%
Miss: 0.00%"
Class_0,"Cov: 15.69%
Acc: 87.20%
Miss: 0.00%","Cov: 23.59%
Acc: 84.02%
Miss: 0.03%","Cov: 37.74%
Acc: 75.97%
Miss: 0.43%","Cov: 49.37%
Acc: 67.69%
Miss: 0.85%","Cov: 61.30%
Acc: 62.94%
Miss: 1.22%","Cov: 72.86%
Acc: 59.12%
Miss: 1.19%","Cov: 83.77%
Acc: 56.03%
Miss: 0.77%","Cov: 92.18%
Acc: 53.58%
Miss: 0.53%","Cov: 97.78%
Acc: 51.49%
Miss: 0.10%","Cov: 99.44%
Acc: 50.86%
Miss: 0.04%","Cov: 99.98%
Acc: 50.66%
Miss: 0.00%"
Class_1,"Cov: 52.30%
Acc: 97.51%
Miss: 0.00%","Cov: 54.08%
Acc: 94.25%
Miss: 0.00%","Cov: 57.52%
Acc: 88.61%
Miss: 0.00%","Cov: 63.14%
Acc: 80.72%
Miss: 0.00%","Cov: 68.76%
Acc: 74.12%
Miss: 0.00%","Cov: 81.20%
Acc: 72.64%
Miss: 0.00%","Cov: 90.17%
Acc: 71.04%
Miss: 0.02%","Cov: 95.45%
Acc: 69.39%
Miss: 0.05%","Cov: 98.91%
Acc: 68.11%
Miss: 0.02%","Cov: 99.66%
Acc: 67.79%
Miss: 0.00%","Cov: 99.93%
Acc: 67.62%
Miss: 0.00%"
Class_2,"Cov: 10.81%
Acc: 84.62%
Miss: 0.00%","Cov: 21.30%
Acc: 81.60%
Miss: 0.59%","Cov: 34.02%
Acc: 70.36%
Miss: 2.34%","Cov: 48.24%
Acc: 60.61%
Miss: 3.20%","Cov: 61.58%
Acc: 53.36%
Miss: 3.40%","Cov: 72.85%
Acc: 48.69%
Miss: 3.26%","Cov: 82.32%
Acc: 44.89%
Miss: 1.66%","Cov: 89.27%
Acc: 42.88%
Miss: 0.95%","Cov: 96.04%
Acc: 40.74%
Miss: 0.32%","Cov: 98.51%
Acc: 40.03%
Miss: 0.12%","Cov: 99.82%
Acc: 39.65%
Miss: 0.00%"
Class_3,"Cov: 10.63%
Acc: 83.56%
Miss: 0.03%","Cov: 21.73%
Acc: 80.33%
Miss: 0.51%","Cov: 35.39%
Acc: 68.97%
Miss: 2.21%","Cov: 50.43%
Acc: 54.80%
Miss: 2.81%","Cov: 64.63%
Acc: 47.29%
Miss: 3.46%","Cov: 75.78%
Acc: 42.10%
Miss: 3.03%","Cov: 86.33%
Acc: 38.16%
Miss: 1.94%","Cov: 93.40%
Acc: 35.58%
Miss: 0.68%","Cov: 97.96%
Acc: 34.27%
Miss: 0.09%","Cov: 99.13%
Acc: 33.93%
Miss: 0.01%","Cov: 99.90%
Acc: 33.77%
Miss: 0.00%"
Class_4,"Cov: 17.29%
Acc: 74.96%
Miss: 0.00%","Cov: 31.06%
Acc: 75.28%
Miss: 0.13%","Cov: 41.02%
Acc: 63.79%
Miss: 0.09%","Cov: 56.32%
Acc: 61.08%
Miss: 0.49%","Cov: 69.79%
Acc: 55.90%
Miss: 0.68%","Cov: 80.82%
Acc: 54.38%
Miss: 0.22%","Cov: 89.23%
Acc: 53.48%
Miss: 0.16%","Cov: 94.25%
Acc: 52.67%
Miss: 0.06%","Cov: 98.08%
Acc: 51.73%
Miss: 0.00%","Cov: 99.23%
Acc: 51.33%
Miss: 0.06%","Cov: 99.86%
Acc: 51.07%
Miss: 0.00%"
Class_5,"Cov: 17.31%
Acc: 94.87%
Miss: 0.00%","Cov: 24.10%
Acc: 86.65%
Miss: 0.00%","Cov: 42.48%
Acc: 73.87%
Miss: 0.08%","Cov: 59.08%
Acc: 62.96%
Miss: 0.43%","Cov: 70.18%
Acc: 57.48%
Miss: 1.12%","Cov: 79.21%
Acc: 53.77%
Miss: 0.44%","Cov: 85.89%
Acc: 51.71%
Miss: 0.19%","Cov: 91.66%
Acc: 50.30%
Miss: 0.08%","Cov: 96.12%
Acc: 49.34%
Miss: 0.15%","Cov: 98.31%
Acc: 48.89%
Miss: 0.08%","Cov: 99.64%
Acc: 48.52%
Miss: 0.04%"
Class_6,"Cov: 35.82%
Acc: 98.68%
Miss: 0.00%","Cov: 36.15%
Acc: 97.79%
Miss: 0.00%","Cov: 36.94%
Acc: 95.71%
Miss: 0.00%","Cov: 45.23%
Acc: 91.12%
Miss: 0.00%","Cov: 58.59%
Acc: 88.08%
Miss: 0.00%","Cov: 69.71%
Acc: 86.37%
Miss: 0.00%","Cov: 82.41%
Acc: 85.46%
Miss: 0.00%","Cov: 92.68%
Acc: 85.45%
Miss: 0.00%","Cov: 98.56%
Acc: 85.27%
Miss: 0.00%","Cov: 99.74%
Acc: 85.24%
Miss: 0.00%","Cov: 99.97%
Acc: 85.20%
Miss: 0.00%"
Class_7,"Cov: 12.98%
Acc: 85.23%
Miss: 0.00%","Cov: 23.44%
Acc: 79.85%
Miss: 0.06%","Cov: 37.68%
Acc: 71.25%
Miss: 0.31%","Cov: 51.24%
Acc: 63.72%
Miss: 0.93%","Cov: 63.59%
Acc: 59.57%
Miss: 2.03%","Cov: 73.79%
Acc: 55.68%
Miss: 1.85%","Cov: 83.37%
Acc: 52.26%
Miss: 0.72%","Cov: 91.12%
Acc: 50.71%
Miss: 0.43%","Cov: 96.96%
Acc: 49.05%
Miss: 0.19%","Cov: 99.10%
Acc: 48.43%
Miss: 0.04%","Cov: 99.89%
Acc: 48.34%
Miss: 0.00%"
Class_8,"Cov: 12.25%
Acc: 79.99%
Miss: 0.00%","Cov: 24.45%
Acc: 78.23%
Miss: 0.12%","Cov: 40.23%
Acc: 69.08%
Miss: 0.26%","Cov: 56.37%
Acc: 60.00%
Miss: 0.85%","Cov: 70.34%
Acc: 54.26%
Miss: 1.54%","Cov: 80.91%
Acc: 49.75%
Miss: 1.30%","Cov: 89.25%
Acc: 46.46%
Miss: 0.61%","Cov: 94.54%
Acc: 44.65%
Miss: 0.09%","Cov: 98.07%
Acc: 44.07%
Miss: 0.01%","Cov: 99.08%
Acc: 43.66%
Miss: 0.00%","Cov: 99.75%
Acc: 43.48%
Miss: 0.00%"
Class_9,"Cov: 10.30%
Acc: 95.88%
Miss: 0.15%","Cov: 19.88%
Acc: 92.12%
Miss: 1.33%","Cov: 33.47%
Acc: 81.33%
Miss: 3.46%","Cov: 46.21%
Acc: 69.91%
Miss: 4.20%","Cov: 58.41%
Acc: 61.52%
Miss: 4.68%","Cov: 70.04%
Acc: 55.73%
Miss: 4.55%","Cov: 82.28%
Acc: 49.73%
Miss: 1.34%","Cov: 90.08%
Acc: 47.32%
Miss: 0.66%","Cov: 97.03%
Acc: 45.28%
Miss: 0.41%","Cov: 99.09%
Acc: 44.68%
Miss: 0.08%","Cov: 99.77%
Acc: 44.39%
Miss: 0.00%"
Class_10,"Cov: 10.61%
Acc: 93.06%
Miss: 0.00%","Cov: 21.38%
Acc: 90.12%
Miss: 0.09%","Cov: 37.20%
Acc: 79.71%
Miss: 0.81%","Cov: 53.78%
Acc: 66.53%
Miss: 1.42%","Cov: 67.37%
Acc: 60.08%
Miss: 2.38%","Cov: 78.54%
Acc: 55.13%
Miss: 1.33%","Cov: 87.85%
Acc: 51.97%
Miss: 0.40%","Cov: 93.69%
Acc: 50.51%
Miss: 0.18%","Cov: 97.73%
Acc: 49.29%
Miss: 0.06%","Cov: 99.02%
Acc: 48.93%
Miss: 0.02%","Cov: 99.85%
Acc: 48.70%
Miss: 0.00%"
Class_11,"Cov: 18.29%
Acc: 91.31%
Miss: 0.00%","Cov: 24.02%
Acc: 83.67%
Miss: 0.00%","Cov: 39.70%
Acc: 74.06%
Miss: 0.09%","Cov: 57.06%
Acc: 66.99%
Miss: 0.77%","Cov: 69.65%
Acc: 61.22%
Miss: 0.89%","Cov: 79.41%
Acc: 57.72%
Miss: 0.75%","Cov: 87.46%
Acc: 54.88%
Miss: 0.23%","Cov: 93.39%
Acc: 53.58%
Miss: 0.05%","Cov: 97.36%
Acc: 52.65%
Miss: 0.03%","Cov: 98.57%
Acc: 52.27%
Miss: 0.02%","Cov: 99.67%
Acc: 51.98%
Miss: 0.01%"
Class_12,"Cov: 11.24%
Acc: 68.79%
Miss: 0.00%","Cov: 25.26%
Acc: 70.30%
Miss: 0.00%","Cov: 39.99%
Acc: 70.50%
Miss: 0.01%","Cov: 54.78%
Acc: 68.93%
Miss: 0.22%","Cov: 66.83%
Acc: 65.33%
Miss: 0.43%","Cov: 76.69%
Acc: 64.12%
Miss: 0.49%","Cov: 85.57%
Acc: 62.89%
Miss: 0.14%","Cov: 91.01%
Acc: 62.00%
Miss: 0.03%","Cov: 96.08%
Acc: 61.66%
Miss: 0.02%","Cov: 98.49%
Acc: 61.44%
Miss: 0.00%","Cov: 99.80%
Acc: 61.16%
Miss: 0.00%"
Class_13,"Cov: 14.71%
Acc: 85.40%
Miss: 0.01%","Cov: 22.45%
Acc: 81.23%
Miss: 0.04%","Cov: 38.71%
Acc: 72.15%
Miss: 0.42%","Cov: 54.34%
Acc: 64.01%
Miss: 0.49%","Cov: 70.38%
Acc: 59.20%
Miss: 0.46%","Cov: 82.32%
Acc: 56.83%
Miss: 0.24%","Cov: 90.28%
Acc: 54.38%
Miss: 0.19%","Cov: 94.97%
Acc: 52.76%
Miss: 0.18%","Cov: 98.71%
Acc: 51.41%
Miss: 0.03%","Cov: 99.65%
Acc: 51.05%
Miss: 0.01%","Cov: 99.94%
Acc: 50.93%
Miss: 0.00%"
Class_14,"Cov: 15.66%
Acc: 79.13%
Miss: 0.01%","Cov: 22.83%
Acc: 76.19%
Miss: 0.04%","Cov: 37.91%
Acc: 70.32%
Miss: 0.51%","Cov: 53.65%
Acc: 61.68%
Miss: 1.28%","Cov: 67.58%
Acc: 54.92%
Miss: 2.18%","Cov: 78.57%
Acc: 50.74%
Miss: 2.25%","Cov: 88.25%
Acc: 46.95%
Miss: 0.94%","Cov: 94.33%
Acc: 45.04%
Miss: 0.33%","Cov: 98.67%
Acc: 43.77%
Miss: 0.11%","Cov: 99.70%
Acc: 43.36%
Miss: 0.02%","Cov: 99.98%
Acc: 43.28%
Miss: 0.00%"
Class_15,"Cov: 10.93%
Acc: 83.98%
Miss: 0.09%","Cov: 20.75%
Acc: 86.04%
Miss: 0.20%","Cov: 32.64%
Acc: 82.38%
Miss: 0.49%","Cov: 44.70%
Acc: 76.32%
Miss: 0.67%","Cov: 58.36%
Acc: 72.91%
Miss: 0.93%","Cov: 71.25%
Acc: 70.08%
Miss: 0.56%","Cov: 83.10%
Acc: 67.73%
Miss: 0.05%","Cov: 92.53%
Acc: 67.74%
Miss: 0.02%","Cov: 98.15%
Acc: 67.07%
Miss: 0.01%","Cov: 99.46%
Acc: 66.79%
Miss: 0.00%","Cov: 100.00%
Acc: 66.65%
Miss: 0.00%"
Class_16,"Cov: 24.19%
Acc: 82.10%
Miss: 0.00%","Cov: 25.80%
Acc: 77.11%
Miss: 0.00%","Cov: 35.59%
Acc: 74.45%
Miss: 0.01%","Cov: 49.12%
Acc: 72.07%
Miss: 0.01%","Cov: 61.68%
Acc: 70.02%
Miss: 0.07%","Cov: 74.02%
Acc: 70.17%
Miss: 0.04%","Cov: 83.65%
Acc: 69.56%
Miss: 0.02%","Cov: 91.16%
Acc: 69.42%
Miss: 0.05%","Cov: 95.84%
Acc: 68.89%
Miss: 0.04%","Cov: 98.26%
Acc: 68.56%
Miss: 0.02%","Cov: 99.80%
Acc: 68.56%
Miss: 0.02%"
Class_17,"Cov: 23.76%
Acc: 92.55%
Miss: 0.00%","Cov: 25.72%
Acc: 85.55%
Miss: 0.00%","Cov: 40.13%
Acc: 73.87%
Miss: 0.00%","Cov: 59.53%
Acc: 66.90%
Miss: 0.02%","Cov: 72.54%
Acc: 64.35%
Miss: 0.01%","Cov: 82.19%
Acc: 63.42%
Miss: 0.06%","Cov: 90.60%
Acc: 62.23%
Miss: 0.04%","Cov: 95.48%
Acc: 61.74%
Miss: 0.01%","Cov: 98.19%
Acc: 61.30%
Miss: 0.00%","Cov: 99.19%
Acc: 61.00%
Miss: 0.00%","Cov: 99.80%
Acc: 60.86%
Miss: 0.00%"
Class_18,"Cov: 41.85%
Acc: 91.31%
Miss: 0.00%","Cov: 44.89%
Acc: 85.46%
Miss: 0.00%","Cov: 50.60%
Acc: 75.81%
Miss: 0.00%","Cov: 56.68%
Acc: 67.81%
Miss: 0.00%","Cov: 70.89%
Acc: 66.34%
Miss: 0.05%","Cov: 82.04%
Acc: 65.17%
Miss: 0.00%","Cov: 89.87%
Acc: 63.75%
Miss: 0.00%","Cov: 94.85%
Acc: 62.21%
Miss: 0.06%","Cov: 98.32%
Acc: 60.82%
Miss: 0.03%","Cov: 99.46%
Acc: 60.41%
Miss: 0.01%","Cov: 99.92%
Acc: 60.09%
Miss: 0.00%"
Class_19,"Cov: 13.85%
Acc: 63.00%
Miss: 0.15%","Cov: 23.08%
Acc: 75.30%
Miss: 0.77%","Cov: 33.54%
Acc: 69.70%
Miss: 1.69%","Cov: 49.85%
Acc: 59.09%
Miss: 1.23%","Cov: 59.54%
Acc: 56.77%
Miss: 1.23%","Cov: 71.69%
Acc: 55.49%
Miss: 0.62%","Cov: 84.31%
Acc: 53.93%
Miss: 1.08%","Cov: 90.92%
Acc: 53.38%
Miss: 0.15%","Cov: 96.77%
Acc: 54.17%
Miss: 0.00%","Cov: 98.77%
Acc: 53.71%
Miss: 0.00%","Cov: 100.00%
Acc: 53.23%
Miss: 0.00%"
