,Distance_0.01,Distance_0.025,Distance_0.05,Distance_0.075,Distance_0.1,Distance_0.125,Distance_0.15,Distance_0.175,Distance_0.2,Distance_0.225,Distance_0.25,Distance_0.275,Distance_0.3
Total,"Cov: 4.47%
Acc: 88.03%","Cov: 7.57%
Acc: 76.00%","Cov: 13.12%
Acc: 60.41%","Cov: 20.19%
Acc: 51.22%","Cov: 29.16%
Acc: 45.22%","Cov: 38.77%
Acc: 39.23%","Cov: 47.42%
Acc: 35.75%","Cov: 56.16%
Acc: 33.11%","Cov: 63.98%
Acc: 31.04%","Cov: 69.74%
Acc: 29.67%","Cov: 74.37%
Acc: 28.76%","Cov: 78.24%
Acc: 28.06%","Cov: 81.30%
Acc: 27.53%"
Class_0,"Cov: 2.57%
Acc: 60.21%","Cov: 6.66%
Acc: 45.35%","Cov: 12.50%
Acc: 34.54%","Cov: 19.03%
Acc: 29.85%","Cov: 26.54%
Acc: 26.69%","Cov: 33.91%
Acc: 23.89%","Cov: 40.99%
Acc: 21.73%","Cov: 48.87%
Acc: 20.17%","Cov: 58.03%
Acc: 18.56%","Cov: 65.66%
Acc: 17.54%","Cov: 71.83%
Acc: 16.79%","Cov: 76.92%
Acc: 16.23%","Cov: 80.70%
Acc: 15.76%"
Class_1,"Cov: 19.11%
Acc: 97.61%","Cov: 22.85%
Acc: 93.04%","Cov: 26.54%
Acc: 84.16%","Cov: 36.12%
Acc: 79.28%","Cov: 46.62%
Acc: 73.76%","Cov: 53.80%
Acc: 66.47%","Cov: 61.01%
Acc: 61.15%","Cov: 68.76%
Acc: 57.77%","Cov: 74.33%
Acc: 55.39%","Cov: 77.85%
Acc: 53.53%","Cov: 80.64%
Acc: 52.35%","Cov: 83.68%
Acc: 51.60%","Cov: 85.59%
Acc: 50.87%"
Class_2,"Cov: 1.31%
Acc: 41.38%","Cov: 3.33%
Acc: 28.32%","Cov: 7.91%
Acc: 21.00%","Cov: 13.37%
Acc: 18.90%","Cov: 20.72%
Acc: 18.00%","Cov: 29.29%
Acc: 16.66%","Cov: 37.55%
Acc: 16.09%","Cov: 45.97%
Acc: 15.61%","Cov: 53.77%
Acc: 15.44%","Cov: 59.86%
Acc: 15.19%","Cov: 64.94%
Acc: 15.14%","Cov: 69.58%
Acc: 15.04%","Cov: 73.07%
Acc: 14.95%"
Class_3,"Cov: 1.10%
Acc: 41.79%","Cov: 2.71%
Acc: 27.11%","Cov: 6.73%
Acc: 17.36%","Cov: 12.19%
Acc: 14.06%","Cov: 20.47%
Acc: 14.04%","Cov: 31.86%
Acc: 13.10%","Cov: 42.18%
Acc: 12.70%","Cov: 52.06%
Acc: 12.29%","Cov: 61.95%
Acc: 11.74%","Cov: 69.60%
Acc: 11.31%","Cov: 75.60%
Acc: 11.09%","Cov: 80.38%
Acc: 10.84%","Cov: 84.18%
Acc: 10.67%"
Class_4,"Cov: 3.38%
Acc: 60.37%","Cov: 6.69%
Acc: 45.88%","Cov: 12.65%
Acc: 33.75%","Cov: 19.60%
Acc: 30.34%","Cov: 28.47%
Acc: 26.19%","Cov: 39.13%
Acc: 22.45%","Cov: 48.69%
Acc: 21.27%","Cov: 58.48%
Acc: 19.19%","Cov: 66.78%
Acc: 17.87%","Cov: 73.27%
Acc: 17.00%","Cov: 78.69%
Acc: 16.32%","Cov: 82.64%
Acc: 15.91%","Cov: 85.47%
Acc: 15.71%"
Class_5,"Cov: 2.10%
Acc: 63.76%","Cov: 5.69%
Acc: 43.55%","Cov: 14.78%
Acc: 29.04%","Cov: 26.08%
Acc: 23.82%","Cov: 37.39%
Acc: 21.70%","Cov: 47.99%
Acc: 19.46%","Cov: 56.78%
Acc: 18.11%","Cov: 64.80%
Acc: 17.01%","Cov: 71.31%
Acc: 16.19%","Cov: 75.66%
Acc: 15.71%","Cov: 79.23%
Acc: 15.29%","Cov: 82.24%
Acc: 15.02%","Cov: 84.49%
Acc: 14.82%"
Class_6,"Cov: 10.44%
Acc: 98.30%","Cov: 18.11%
Acc: 98.02%","Cov: 23.81%
Acc: 96.45%","Cov: 30.10%
Acc: 93.69%","Cov: 40.27%
Acc: 86.90%","Cov: 49.48%
Acc: 78.70%","Cov: 58.03%
Acc: 73.11%","Cov: 67.47%
Acc: 67.59%","Cov: 76.68%
Acc: 63.05%","Cov: 81.84%
Acc: 60.54%","Cov: 86.22%
Acc: 58.32%","Cov: 88.85%
Acc: 57.15%","Cov: 91.09%
Acc: 56.39%"
Class_7,"Cov: 1.40%
Acc: 64.68%","Cov: 3.63%
Acc: 49.22%","Cov: 8.29%
Acc: 38.56%","Cov: 14.46%
Acc: 31.04%","Cov: 22.30%
Acc: 26.89%","Cov: 32.33%
Acc: 23.41%","Cov: 41.63%
Acc: 21.25%","Cov: 50.10%
Acc: 19.47%","Cov: 57.54%
Acc: 18.21%","Cov: 63.93%
Acc: 17.20%","Cov: 68.84%
Acc: 16.63%","Cov: 72.78%
Acc: 16.22%","Cov: 76.03%
Acc: 15.93%"
Class_8,"Cov: 1.84%
Acc: 47.98%","Cov: 4.15%
Acc: 34.88%","Cov: 9.85%
Acc: 24.24%","Cov: 17.32%
Acc: 18.88%","Cov: 27.32%
Acc: 16.25%","Cov: 38.81%
Acc: 14.82%","Cov: 48.11%
Acc: 13.95%","Cov: 56.44%
Acc: 13.24%","Cov: 64.01%
Acc: 12.64%","Cov: 69.92%
Acc: 12.29%","Cov: 74.25%
Acc: 12.07%","Cov: 78.02%
Acc: 11.87%","Cov: 81.34%
Acc: 11.70%"
Class_9,"Cov: 0.47%
Acc: 54.76%","Cov: 1.03%
Acc: 42.95%","Cov: 3.25%
Acc: 30.22%","Cov: 7.62%
Acc: 28.92%","Cov: 13.70%
Acc: 26.50%","Cov: 25.58%
Acc: 21.79%","Cov: 38.18%
Acc: 19.22%","Cov: 50.58%
Acc: 17.55%","Cov: 60.45%
Acc: 16.48%","Cov: 67.56%
Acc: 15.89%","Cov: 72.56%
Acc: 15.60%","Cov: 76.97%
Acc: 15.31%","Cov: 80.30%
Acc: 15.18%"
Class_10,"Cov: 1.48%
Acc: 58.92%","Cov: 3.31%
Acc: 39.98%","Cov: 8.14%
Acc: 24.67%","Cov: 14.75%
Acc: 19.13%","Cov: 22.96%
Acc: 17.59%","Cov: 32.20%
Acc: 15.99%","Cov: 40.41%
Acc: 15.22%","Cov: 49.28%
Acc: 14.58%","Cov: 57.29%
Acc: 14.01%","Cov: 63.56%
Acc: 13.66%","Cov: 68.57%
Acc: 13.44%","Cov: 73.65%
Acc: 13.27%","Cov: 77.76%
Acc: 13.17%"
Class_11,"Cov: 6.35%
Acc: 81.00%","Cov: 8.15%
Acc: 66.36%","Cov: 12.53%
Acc: 53.47%","Cov: 17.35%
Acc: 43.16%","Cov: 24.93%
Acc: 37.61%","Cov: 32.70%
Acc: 31.97%","Cov: 40.27%
Acc: 29.56%","Cov: 48.51%
Acc: 26.68%","Cov: 56.14%
Acc: 25.17%","Cov: 61.84%
Acc: 24.18%","Cov: 67.66%
Acc: 24.32%","Cov: 72.65%
Acc: 23.73%","Cov: 77.05%
Acc: 22.94%"
Class_12,"Cov: 1.01%
Acc: 85.01%","Cov: 2.09%
Acc: 67.33%","Cov: 5.21%
Acc: 54.11%","Cov: 9.73%
Acc: 46.88%","Cov: 15.55%
Acc: 42.00%","Cov: 25.71%
Acc: 34.23%","Cov: 36.52%
Acc: 29.46%","Cov: 46.89%
Acc: 27.27%","Cov: 55.94%
Acc: 26.19%","Cov: 63.55%
Acc: 25.44%","Cov: 69.13%
Acc: 25.01%","Cov: 73.62%
Acc: 24.64%","Cov: 76.39%
Acc: 24.40%"
Class_13,"Cov: 1.91%
Acc: 60.13%","Cov: 6.28%
Acc: 57.89%","Cov: 15.50%
Acc: 48.32%","Cov: 27.55%
Acc: 40.44%","Cov: 40.46%
Acc: 36.74%","Cov: 52.77%
Acc: 33.97%","Cov: 62.46%
Acc: 32.04%","Cov: 71.14%
Acc: 30.11%","Cov: 77.85%
Acc: 28.56%","Cov: 82.40%
Acc: 27.61%","Cov: 85.66%
Acc: 26.92%","Cov: 88.02%
Acc: 26.38%","Cov: 89.72%
Acc: 26.01%"
Class_14,"Cov: 1.78%
Acc: 55.76%","Cov: 3.59%
Acc: 38.01%","Cov: 8.31%
Acc: 29.54%","Cov: 15.10%
Acc: 25.23%","Cov: 27.48%
Acc: 22.27%","Cov: 41.94%
Acc: 19.98%","Cov: 53.41%
Acc: 18.89%","Cov: 64.71%
Acc: 17.68%","Cov: 73.31%
Acc: 16.79%","Cov: 79.18%
Acc: 16.17%","Cov: 83.43%
Acc: 15.77%","Cov: 86.44%
Acc: 15.45%","Cov: 88.64%
Acc: 15.20%"
Class_15,"Cov: 0.58%
Acc: 48.54%","Cov: 1.65%
Acc: 51.66%","Cov: 5.00%
Acc: 57.24%","Cov: 10.36%
Acc: 58.00%","Cov: 17.42%
Acc: 57.65%","Cov: 26.05%
Acc: 55.48%","Cov: 34.15%
Acc: 54.98%","Cov: 42.08%
Acc: 54.05%","Cov: 51.24%
Acc: 51.44%","Cov: 58.74%
Acc: 49.87%","Cov: 65.01%
Acc: 48.96%","Cov: 70.69%
Acc: 48.01%","Cov: 75.82%
Acc: 47.00%"
Class_16,"Cov: 4.10%
Acc: 86.50%","Cov: 5.89%
Acc: 79.50%","Cov: 13.18%
Acc: 75.50%","Cov: 20.15%
Acc: 71.64%","Cov: 26.80%
Acc: 67.05%","Cov: 33.10%
Acc: 61.16%","Cov: 39.03%
Acc: 57.28%","Cov: 45.23%
Acc: 54.06%","Cov: 51.46%
Acc: 50.38%","Cov: 57.01%
Acc: 48.10%","Cov: 61.47%
Acc: 46.62%","Cov: 64.85%
Acc: 45.41%","Cov: 67.81%
Acc: 44.90%"
Class_17,"Cov: 3.43%
Acc: 69.79%","Cov: 6.55%
Acc: 57.49%","Cov: 14.80%
Acc: 43.72%","Cov: 25.79%
Acc: 37.37%","Cov: 38.97%
Acc: 35.17%","Cov: 50.45%
Acc: 32.38%","Cov: 58.94%
Acc: 30.20%","Cov: 66.13%
Acc: 28.92%","Cov: 72.23%
Acc: 27.66%","Cov: 76.43%
Acc: 27.02%","Cov: 79.98%
Acc: 26.37%","Cov: 82.94%
Acc: 25.88%","Cov: 85.08%
Acc: 25.51%"
Class_18,"Cov: 14.63%
Acc: 90.55%","Cov: 22.11%
Acc: 85.34%","Cov: 34.02%
Acc: 77.62%","Cov: 40.64%
Acc: 70.63%","Cov: 48.01%
Acc: 64.90%","Cov: 55.71%
Acc: 59.88%","Cov: 61.19%
Acc: 56.06%","Cov: 69.15%
Acc: 53.83%","Cov: 74.51%
Acc: 51.06%","Cov: 78.23%
Acc: 49.18%","Cov: 81.15%
Acc: 47.74%","Cov: 83.73%
Acc: 46.65%","Cov: 85.70%
Acc: 45.87%"
Class_19,"Cov: 1.33%
Acc: 49.88%","Cov: 3.12%
Acc: 43.72%","Cov: 7.45%
Acc: 35.12%","Cov: 12.64%
Acc: 32.72%","Cov: 19.18%
Acc: 31.70%","Cov: 30.49%
Acc: 30.20%","Cov: 40.28%
Acc: 28.50%","Cov: 49.79%
Acc: 26.41%","Cov: 56.97%
Acc: 24.79%","Cov: 61.39%
Acc: 24.07%","Cov: 64.35%
Acc: 23.89%","Cov: 66.68%
Acc: 23.87%","Cov: 68.95%
Acc: 23.77%"
